address,adm_district,city_district,lattitude,longitude
"город Москва, Тамбовская улица, дом 4",Южный,Орехово-Борисово Южное,55.6048149,37.7447601
"город Москва, Домодедовская улица, дом 25, корпус 1",Южный,Орехово-Борисово Южное,55.6049871,37.7139488
"город Москва, Пролетарский проспект, дом 20, корпус 2",Южный,Царицыно,55.6333172,37.6578067
"город Москва, Пролетарский проспект, дом 20, корпус 2",Южный,Царицыно,55.6333172,37.6578067
"город Москва, Каширское шоссе, дом 40, корпус 2",Южный,Москворечье-Сабурово,55.6488975,37.6616382
"город Москва, Борисовский проезд, дом 14, корпус 2",Южный,Орехово-Борисово Северное,55.6250946,37.7223711
"город Москва, 2-й Нагатинский проезд, дом 8",Южный,Нагатино-Садовники,55.6724115,37.6346862
"город Москва, Дольская улица, дом 10, строение 1",Южный,Орехово-Борисово Северное,55.6183925,37.6833901
"город Москва, Кантемировская улица, дом 59А",Южный,Царицыно,55.6366,37.644495
"город Москва, 1-й Нагатинский проезд, дом 15",Южный,Нагатино-Садовники,55.6737879,37.6338415
"город Москва, Ореховый бульвар, дом 55, корпус 1",Южный,Зябликово,55.614934,37.7509922
"город Москва, Елецкая улица, дом 4, корпус 1",Южный,Орехово-Борисово Южное,55.6115425,37.7304727
"город Москва, Луганская улица, дом 10",Южный,Царицыно,55.6224098,37.6675682
"город Москва, Луганская улица, дом 10",Южный,Царицыно,55.6224098,37.6675682
"город Москва, Нагатинская улица, дом 4А, строение 1",Южный,Нагатино-Садовники,55.6805187,37.6276635
"город Москва, Домодедовская улица, дом 28",Южный,Орехово-Борисово Южное,55.6048226,37.7122895
"город Москва, Липецкая улица, дом 2, корпус 13",Южный,Бирюлево Восточное,55.6047526,37.6678543
"город Москва, улица Генерала Белова, дом 29",Южный,Орехово-Борисово Северное,55.6149432,37.7212693
"город Москва, улица Генерала Белова, дом 29",Южный,Орехово-Борисово Северное,55.6149432,37.7212693
"город Москва, Каширское шоссе, дом 80",Южный,Орехово-Борисово Северное,55.6244547,37.7091054
"город Москва, улица Мусы Джалиля, дом 27, корпус 3",Южный,Зябликово,55.6178291,37.7450517
"город Москва, Каширское шоссе, дом 51, корпус 3",Южный,Москворечье-Сабурово,55.6403663,37.6906185
"город Москва, Ключевая улица, дом 6, корпус 1",Южный,Братеево,55.6377166,37.7574822
"город Москва, улица Генерала Белова, дом 35",Южный,Орехово-Борисово Южное,55.6107924,37.7238523
"город Москва, Варшавское шоссе, дом 45",Южный,Нагатино-Садовники,55.679945,37.625289
"город Москва, Кантемировская улица, дом 6, корпус 1",Южный,Москворечье-Сабурово,55.637891,37.67767
"город Москва, Кантемировская улица, дом 6, корпус 1",Южный,Москворечье-Сабурово,55.637891,37.67767
"город Москва, Каширское шоссе, дом 82А",Южный,Орехово-Борисово Северное,55.6249266,37.7084924
